index,Product Name,Description,Reviewer Name,Review Title,Review,Date,Rating,Verified Purchase,Helpful Votes,compound,positive,negative,neutral_sentiment,anger,disgust,fear,joy,neutral,sadness,surprise
0,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity Improvement, 34g x4ea",,Lauren Rodriguez,"Works great for young, dry skin.","I followed the directions, and used a serum before applying. It does move a tiny bit, but if you’re patient and hold it in places it doesn’t stick well, like your eye sockets by your nose, it will eventually do its thing within a short time.The mask is large enough, but still small to where there are gaps of your face that go uncovered. I used the mouth, and eye pieces to cover the tiny areas of my face that the mask didn’t reach. Even overlapping the mask, my skin still absorbed everything. I have sensitive, and dry skin with semi-large pores. There is a distinct smell, but it didn’t bother me or my skin at all. When applying, the mask will be surprising more slippery coming from the package than when placing on your face. You do need to be careful with the mask, because it can be easily punctured or ripped if you are too rough trying to get it to reach beyond its limits. However, it easily goes back to its form if you don’t completely rip it, so just be careful. Punctures aren’t the end of the world and don’t change the efficiency of the mask.After taking it off the next morning, I did see the difference between the skin on my face the mask reached, to the skin it didn’t. The mask made my skin hydrated, and softened my tired eye bags along with other tiny lines on my face. As other reviewers have mentioned, it does leave your skin shiny yet feeling sticky. I just splashed my face with water to make it less sticky from the mask residue, and that was enough for me to feel okay.Overall, I recommend for occasional use, not daily or even weekly at their price point. There are other products that will absorb collagen into your skin much better, and cover your whole face without taking hours. However, if you have a special next-day occasion, or just want to pamper yourself because your skin needs the extra hydration, I do recommend mixing these in with your routine.",9/29/2024,5,Yes,101,0.9827,0.116,0.022,0.861,0.011743690818548203,0.35054466128349304,0.01496980246156454,0.0025830729864537716,0.5782193541526794,0.013464164920151234,0.02847527712583542
1,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity Improvement, 34g x4ea",,lsutigeralumna,Highly Recommend and a Re-buy for me,"I saw so much hype over these masks and similar versions that it was hard to believe they could live up to the rave reviews.But I have to say, these masks are really lovely. Not only do they leave my skin hydrated and smooth, but the experience using them is so enjoyable.Highlights:-no off-putting scent-plenty of serum (I apply the excess from the packaging to my neck and chest)-easy to apply-stays in place-noticeable results-comfortable to sleep in-feels cooling on the skin (even long after application)Con (only one):-tears easily, so handle carefullyYou can wear these overnight or for several hours during the day. Unless you move a ton in your sleep, you can sleep in these masks easily and they’ll stay in place.The cooling sensation when you wear this mask is incredibly soothing. I tried popping it in the refrigerator and that further elevated the experience.I highly recommend these masks. They’re a re-buy for me, and I suggest them to all of my friends and family.",9/29/2024,5,Yes,91,0.9622,0.116,0.013,0.871,0.001729666953906417,0.0032006746623665094,0.0007861724589020014,0.9672536849975586,0.02094000205397606,0.0029517521616071463,0.003138103289529681
2,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity Improvement, 34g x4ea",,A. Myers,Amazing- best mask I’ve ever used.,"Yes!!! Finally a mask that I can feel and see working, and with results that last. I have sensitive dry skin, live in a very dry climate, and even with drinking insane amounts of water and using a humidifier- my skin never feels hydrated. I used ONE of these masks so far 4 days ago and my skin still feels hydrated and soft. Initially I thought I’d have to use another one right away to give myself a hydrating boost but I truly think one a week will be enough.They’re thick; fit is a little off and you might have to adjust it to your face; no excess “tonic” in package but be sure to layer or use the eyes/mouth cut outs. I didn’t notice any weird smells, or tingling like I have with other masks. Glad I added this to my subscriptions because I will be using these weekly until further notice.",10/25/2024,5,Yes,2,0.9264,0.139,0.059,0.801,0.0092411357909441,0.026627572253346443,0.0022673129569739103,0.13559050858020782,0.7551262974739075,0.015419700182974339,0.0557275228202343
3,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity Improvement, 34g x4ea",,Kathryn,Updated review,"Ok update-I decided to just go full boar with this and did all 4 masks in 1 week.I slept with them all night (or as long as they would stay on my face) and after the third, I am seeing the results. Just like with anything, it has to get into your system before you start really getting the effects.This raised it up to a 4 star. Reason it’s not 5 is the mask size. I really don’t think I have a large face but the mask does not fit well. I have to modify it quite a bit to get the coverage I need. The eye area is the worst and needs some improvement.First of all, be careful removing this from the package. It is very delicate and you can puncture the mask very easily, especially those with nails.The mask feels like a very thin piece of gelatinous calamari. The time the mask takes to hydrate is definitely awhile which gives the skins a lot of time to absorb the product. Overnight is best if you can sleep comfortably with it.Does it make you look like you have poreless wet plastic skin like the adverts show on social media? The short answer is no. That would require injections from a medical spa. This is not a quick fix product by any means. But it does hydrate your skin. Once the mask is clear like Saran Wrap on your skin and it is removed, there is a (not pleasing) residue that is left behind. Your fingers do not glide smoothly across the skin like you just put a serum on it. It’s like a tacky feeling like wet glue. But after you wash this off, your skin should feel pretty smooth. But the advertised product videos the influencers are doing are definitely misleading. I’m not saying this product doesn’t hydrate the skin, but I have bought way cheaper face masks on Amazon that do a better job that you do not have to leave on all night.But it was fun to see the hype.1 star for product longevity1 star for appearanceThe mask is not a 1 size fits all by any means. Without the little extra pieces of mask, it would not cover my face.",8/25/2024,4,Yes,186,0.9943,0.172,0.041,0.787,0.017477447167038918,0.434213787317276,0.013933027163147926,0.004272264428436756,0.47406432032585144,0.030582668259739876,0.02545652911067009
4,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity Improvement, 34g x4ea",,JRC,Love this mask!!!,"I saw a bunch of ads for this on instagram. I am always a little skeptical of this stuff, but I saw so many ads from many different people that I had to try it for myself! I love it. It made my skin feel amazing. The mask itself is very soothing when you first put it on. It dries clear and it just peels right off in the morning. My skin felt hydrated and fresh and tight. Not tight like it was dry, tight like firmer. And my skin had a glow. The glow doesn’t stay for a week but it does stay for a few days. I feel like the more I use it the better it will get. So glad I tried it. I have a family wedding next weekend and we are all doing the masks the night before. It will be fun and we will all look amazing 💙 highly recommend!!!!",9/24/2024,5,Yes,10,0.9885,0.226,0.054,0.72,0.009801831096410751,0.009485064074397087,0.015419743955135345,0.7103338837623596,0.08826115727424622,0.005827839951962233,0.1608704775571823
5,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity Improvement, 34g x4ea",,Heather Tenney,SO HYDRATING!,"I absolutely love these! Of all of the masks I’ve tried, these are the absolute best! I’m 52, I’ve got a regular skincare routine for my sensitive skin but nothing has ever hydrated my skin like these masks do. My redness from years of acne and fair skin sunburns fades after this mask. My skin literally craves this mask. If I could wear one every night I absolutely would. My skin is so happy and glowy after the mask, and the effect lasts for a few days. I follow it four days later with their deep collagen mask, rotating between these two. I’ve gotten so much elasticity back in my skin since starting these two masks. It’s thick and easy to apply, warms to my skin and stays in place after about thirty minutes. I tried the other big name brand but their masks have Peg-100 and made my skin blotchy. These don’t have that and really soothe any redness on my fair, sensitive skin. They’re so cooling, so hydrating, I just love them. I highly recommend for aging skin!",9/22/2024,5,Yes,39,0.9923,0.208,0.0,0.792,0.021037070080637932,0.06250084936618805,0.002365162130445242,0.3292216360569,0.5360796451568604,0.03248782828450203,0.016307787969708443
6,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity Improvement, 34g x4ea",,Amazon Customer,Love these masks BUT they don’t stay on face easily,"These masks are excellent masks for your skin. Great Korean skin care product, my dermatologist did a skin moisturizing tests and this actually does increase your skins moisture levels. Not like other brands that just leave a film on the top to look hydrated. In terms of its effectiveness it really is a 15/10 from me and my dermatologist! It smells neutral, has a good thickness that thins and turns translucent and your skin absorbs the contents. Smooth and jelly like texture. The only downside is it’s recommended to sleep with these masks however they don’t adhere to your face very well. So unless you sleep on your back and stay perfectly still it’s likely to come off. Likewise wearing it in the day is challenging as it’s recommended to wear for about 4 hours. You have to keep your face slightly tilted back and refrain from facial movements. Obviously for such a prolonged time this can be a bit of a challenge. Is it worth some poor sleep, for me, yes. Because despite this, it works incredibly well on the refinement of appearance of your face. Super moisturizing, anti-aging, fine line reducing and poor minimizing with consistent use, for me that’s once a week. I also use aestura atobarrier 365 cream, with a few other products. But these two changed my skin care routine and I have never been happier with the results!",8/6/2024,4,Yes,47,0.9413,0.144,0.055,0.802,0.008929549716413021,0.10744550824165344,0.003741298569366336,0.04982801899313927,0.811941385269165,0.010422823950648308,0.007691365201026201
7,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity Improvement, 34g x4ea",,C. Lee,Not ok for super sensitive skin,"After seeing this all over social media, I caved and bought the four pack. Full disclosure - I've been trying to ramp up my retinol use so my skin is probably more sensitive than usual but the package said ""safe for sensitive skin"" so I figured it was fine. The minute I applied the mask on my face it started to burn a little but that subsided after about 5 minutes.  I carefully ensured there were no air bubbles under the mask and all areas were covered.  The upper part of the face mask initially looked like it would be too small but after smoothing it on it fit...in fact, it ended up being a little too large and the edges flipped up into my hairline. I went to bed and other than not being able to sleep on my side, it was actually pretty comfortable. There was a slight cooling effect which I thought it would be nice to wear it during the summer.  The next day, the mask turned clear and my face looked shiny but not that much plumper.  I performed my morning face wash with Cetaphil gentle cleanser and the minute I put on my regular lotions my face started to sting a little and turn pink. During the entire day my face felt a little hot and itchy, similar to the day after getting a mild chemical peel. Today is day 2 after using the Biodance mask and my face feels tight and there are patches of my face that are lightly peeling. I'm pretty sure it's a reaction to the mask and it's just not compatible for my skin.  Maybe if I wasn't using retinols it would be fine but I'd rather stick with my retinol regime.  Last thing worth mentioning...the marketing states the mask turns clear after your skin absorbs the ingredients of the mask but I noticed that the whole mask turns clear no matter if it was touching your skin including the edges that were lying on top of my hair.  So I don't think the mask turning clear is an indication that your skin absorbed all the serum, it's just evaporated.",10/31/2024,4,Yes,0,0.9916,0.145,0.032,0.823,0.08975496143102646,0.18030215799808502,0.04049771651625633,0.010787631385028362,0.5952592492103577,0.05902620404958725,0.024372095242142677
8,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity Improvement, 34g x4ea",,Katherine,Wow this is great! And it made my eye wrinkles look better.,"Get yourself this product!!! I saw this on some Insta site or two and ordered it because my face has gotten a bit dry and peely from retinoid and other products. It was weird at first and hard to place exactly where I wanted it on my face because it's kinda goopy and slides around. But I was walking around and probably should have sat still while it became more stuck to my skin. I was actually able to go to bed with it still on. In the morning, after peeling it off (feels like a thick, unsticky bandaid), my skin was SO soft and plumper looking AND my wrinkles were definitely less obvious ( I assume from the plumping effect).  If you see my other reviews you'll see that I've tried wrinkle-specific products that simply do not work as advertised and I had not been expecting that bonus effect from this mask product. But I totally realize it's temporary, not a real solution like Retin A type products. I bought more on Amazon prime day at a great deal and will probably make this one my my regular orders on amazon.  Get this product! (I do not get anything for this review, lol)",10/19/2024,5,Yes,0,0.969,0.123,0.037,0.84,0.02184424176812172,0.37477943301200867,0.0324518084526062,0.012913853861391544,0.2858404815196991,0.019793232902884483,0.252376914024353
9,"BIODANCE Bio-Collagen Real Deep Mask, Hydrating Overnight Hydrogel Mask, Pore Minimizing, Elasticity Improvement, 34g x4ea",,Daniela,Baby soft skin!,"I as most others was influenced by viral videos showing the before and after, I’ve never tried gel mask like this before so I was intrigued! I did not have any issues getting the mask out of the package, it comes in two pieces for easier application. I started with the bottom half and made two small incisions in the chin area to make it stick better. I then layered the top half over it and cut around the nose area to fit my facial features better. I like that the eyes and mouth are also included so that you can use it on the gaps, your neck, or wherever else you please. It has this great cooling effect that lasts all the way until it dries down. It sticks to your skin very well and I didn’t have any issues with peeling while asleep. Though I love the glass skin effect after you take the mask off, it kind of felt like my face was sweating when I woke up. I have only used one so far, but plan on using it weekly as a part of my skin care routine. They are pricy, I lucked out and got mine during Prime Days, now that I know they are worth the splurge I will re-purchase again.",10/15/2024,5,Yes,7,0.9784,0.152,0.007,0.841,0.00897575356066227,0.016812346875667572,0.002665746258571744,0.01533882599323988,0.9228476881980896,0.004105360247194767,0.02925429679453373
